 ------------------------------------------------------------------- ------------- -------- ------ --------------------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                                         
 ------------------------------------------------------------------- ------------- -------- ------ --------------------------------------------------------------------------------------------- 
  api.action.access-key.integration                                   GET           ANY      ANY    /api/v{version}/_action/access-key/intergration                                              
  api.action.access-key.user                                          GET           ANY      ANY    /api/v{version}/_action/access-key/user                                                      
  api.action.access-key.sales-channel                                 GET           ANY      ANY    /api/v{version}/_action/access-key/sales-channel                                             
  api.action.access-key.product-export                                GET           ANY      ANY    /api/v{version}/_action/access-key/product-export                                            
  api.composite.search                                                GET|POST      ANY      ANY    /api/v{version}/_search                                                                      
  api.clone                                                           POST          ANY      ANY    /api/v{version}/_action/clone/{entity}/{id}                                                  
  api.createVersion                                                   POST          ANY      ANY    /api/v{version}/_action/version/{entity}/{id}                                                
  api.mergeVersion                                                    POST          ANY      ANY    /api/v{version}/_action/version/merge/{entity}/{versionId}                                   
  api.deleteVersion                                                   POST          ANY      ANY    /api/v{version}/_action/version/{versionId}/{entity}/{entityId}                              
  api.oauth.authorize                                                 POST          ANY      ANY    /api/oauth/authorize                                                                         
  api.oauth.token                                                     POST          ANY      ANY    /api/oauth/token                                                                             
  api.action.cache.info                                               GET           ANY      ANY    /api/v{version}/_action/cache_info                                                           
  api.action.cache.index                                              POST          ANY      ANY    /api/v{version}/_action/index                                                                
  api.action.cache.delete_and_warmup                                  DELETE        ANY      ANY    /api/v{version}/_action/cache_warmup                                                         
  api.action.cache.delete                                             DELETE        ANY      ANY    /api/v{version}/_action/cache                                                                
  api.action.cache.cleanup                                            DELETE        ANY      ANY    /api/v{version}/_action/cleanup                                                              
  api.action.container-cache.delete                                   DELETE        ANY      ANY    /api/v{version}/_action/container_cache                                                      
  api.action.captcha.list                                             GET           ANY      ANY    /api/v{version}/_action/captcha_list                                                         
  api.action.indexing                                                 POST          ANY      ANY    /api/v{version}/_action/indexing                                                             
  api.info.openapi3                                                   GET           ANY      ANY    /api/v{version}/_info/openapi3.json                                                          
  api.info.open-api-schema                                            GET           ANY      ANY    /api/v{version}/_info/open-api-schema.json                                                   
